,duration,id,index,location,match_id,minute,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,team,timestamp,type,location_x,location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z,related_events1,related_events2,related_events3
240,0.14455099999999999,3179b79c-2db0-4f9e-9de1-8e96467d01fc,2727,"[115.2, 39.1]",3775600,69,2,From Corner,Ellen White,10180,Center Forward,161,Manchester City WFC,746,"['09f065af-848d-4915-8bcb-a99f5f63fcda', '6c81da01-e491-4a96-ad3c-2418bdb9951d']",0,Left Foot,"[118.2, 38.4]",Blocked,0.20069157,Volley,Open Play,Manchester City WFC,-2208987359520,Shot,115.2,39.1,118.2,38.4,,09f065af-848d-4915-8bcb-a99f5f63fcda,6c81da01-e491-4a96-ad3c-2418bdb9951d,
241,0.6223000000000001,43379a5f-de65-4950-8477-89f07687d52c,2764,"[105.3, 49.2]",3775600,70,2,Regular Play,Ellen White,10180,Center Forward,164,Manchester City WFC,746,['ac8b71c0-62fb-4a1a-928a-13127f3352cb'],37,Right Foot,"[120.0, 43.8, 0.9]",Post,0.1470165,Normal,Open Play,Manchester City WFC,-2208987262240,Shot,105.3,49.2,120.0,43.8,0.9,ac8b71c0-62fb-4a1a-928a-13127f3352cb,,
242,0.122443,176bbe59-22e8-4689-9073-8f4154c1052b,2776,"[109.4, 44.6]",3775600,70,2,Regular Play,Lauren Hemp,15555,Left Wing,164,Manchester City WFC,746,"['5f53038b-69f4-4013-b47c-a1fce94d3bb4', 'c2dcc310-f9bc-43cf-af0a-5a4f3dd14c0c']",42,Right Foot,"[114.5, 42.8]",Blocked,0.25539142,Normal,Open Play,Manchester City WFC,-2208987257700,Shot,109.4,44.6,114.5,42.8,,5f53038b-69f4-4013-b47c-a1fce94d3bb4,c2dcc310-f9bc-43cf-af0a-5a4f3dd14c0c,
243,0.410885,7db5fdb6-4d21-4c52-a090-815223c1e9c1,2991,"[112.1, 37.5]",3775600,78,2,Regular Play,Lauren Hemp,15555,Left Wing,178,Manchester City WFC,746,['c8780175-9c77-4db3-8e41-3beb48aed25b'],41,Head,"[120.0, 38.8, 1.7000000000000002]",Goal,0.258618,Normal,Open Play,Manchester City WFC,-2208986778156,Shot,112.1,37.5,120.0,38.8,1.7000000000000002,c8780175-9c77-4db3-8e41-3beb48aed25b,,
244,0.25852,6b116605-0bc6-4dd0-9548-a7070de410f2,120,"[115.3, 33.9]",3775626,1,1,From Throw In,Lauren Hemp,15555,Left Wing,5,Manchester City WFC,746,['28bfbbbf-267c-41e4-a6ef-2bc5200792ea'],51,Left Foot,"[120.0, 36.6, 1.3]",Goal,0.35162488000000003,Normal,Open Play,Manchester City WFC,-2208988688669,Shot,115.3,33.9,120.0,36.6,1.3,28bfbbbf-267c-41e4-a6ef-2bc5200792ea,,
245,0.578996,5c1b78e6-813b-4e08-b7f2-6846d40bf5fd,583,"[108.7, 53.9]",3775626,11,1,Regular Play,Chloe Kelly,15570,Right Wing,26,Manchester City WFC,746,['c2044b08-f04a-4704-9f29-40f0740a7de7'],16,Right Foot,"[120.0, 44.3, 2.2]",Post,0.024354776,Normal,Open Play,Manchester City WFC,-2208988123407,Shot,108.7,53.9,120.0,44.3,2.2,c2044b08-f04a-4704-9f29-40f0740a7de7,,
246,0.5956429999999999,9010e4d6-ac92-4b75-a24c-d7ae148b3365,812,"[111.5, 43.4]",3775626,16,1,From Corner,Jill Scott,10172,Center Defensive Midfield,39,Manchester City WFC,746,['f979e462-92db-4dca-90d9-7fdfa256ae3c'],23,Head,"[120.0, 42.1, 0.8]",Goal,0.12313791,Normal,Open Play,Manchester City WFC,-2208987816383,Shot,111.5,43.4,120.0,42.1,0.8,f979e462-92db-4dca-90d9-7fdfa256ae3c,,
247,0.058455999999999994,0af3988d-3b24-44c7-9125-32587021cb94,888,"[107.2, 41.7]",3775626,19,1,From Free Kick,Lucy Bronze,10178,Left Back,44,Manchester City WFC,746,"['1eedf740-50a3-46ff-921b-3d6c5ba9bd06', '4902d09f-4d17-4050-b7bf-f153329d564e', '86a05bfb-f295-411b-9eab-1b69bc40d89e']",27,Head,"[107.7, 42.0]",Blocked,0.023484945,Normal,Open Play,Manchester City WFC,-2208987632255,Shot,107.2,41.7,107.7,42.0,,1eedf740-50a3-46ff-921b-3d6c5ba9bd06,4902d09f-4d17-4050-b7bf-f153329d564e,86a05bfb-f295-411b-9eab-1b69bc40d89e
248,1.414702,e6b6cc2f-f4a2-4f8b-b5b3-8dd9eaec2bdb,1107,"[99.8, 20.6]",3775626,24,1,From Throw In,Lauren Hemp,15555,Left Wing,52,Manchester City WFC,746,['dbbadc69-7257-431f-98f4-f01bbac5245e'],26,Right Foot,"[120.0, 48.4, 4.3]",Off T,0.013492765,Half Volley,Open Play,Manchester City WFC,-2208987333825,Shot,99.8,20.6,120.0,48.4,4.3,dbbadc69-7257-431f-98f4-f01bbac5245e,,
249,0.080343,0ed03bda-89b6-4939-bceb-443ca693dd31,1118,"[101.3, 47.5]",3775626,24,1,Regular Play,Georgia Stanway,4643,Right Center Midfield,54,Manchester City WFC,746,"['4335374e-7814-4a98-95b1-7aa64aeeef82', '52002ab2-b8fe-4677-927b-a777bacf0acf']",47,Right Foot,"[103.8, 46.7]",Blocked,0.04988127,Normal,Open Play,Manchester City WFC,-2208987312226,Shot,101.3,47.5,103.8,46.7,,4335374e-7814-4a98-95b1-7aa64aeeef82,52002ab2-b8fe-4677-927b-a777bacf0acf,
